processed_text,sentiment
"Nice looking picture dementions thing ?It looks good 4""X 8"" 12"" X 8"" ? Sure would nice know size I buy.............da Trol",negativo
"I bought two bags far. failed plastic fastener, one arm snapped time. bag ok, plastic parts belt really cheap... I wont buy third one.",negativo
"I give order processing A+ due receiving product within three days.The bag, had, leaves bit desired. While material used soft, inexpensive zippers difficult operate one hand",negativo
"The actual bag great. However, time frame took recieve bag not. I ordered bag three weeks later came. I go buy bag take vacation. kind defeated purpose",negativo
Very dissatisfied quality like several reviewers. Relegated cleaning one use,negativo
"The shirt fits well, good style, good shirt. But Bealls Florida sucks retailer. Their customer service rude, crude, unrefined. Even supervisors Customer Service suck, return accept items back. So BEWARE, better damn sure size fits (ordered product before). Because Bealls Florida let return item different size style. I shop again! I repeat, I WILL NOT SHOP HERE AGAIN. THIS PLACE SUCKS AS FAR AS A RETAILER",negativo
THe pants I ordered size small. They true size all. I would recommend item anyone,negativo
"I ordered black one. According photo provided, supposed black white seams, received it, black. Once I put fitted perfectly. But simply difficult put even though right size.",negativo
"Suit small, enough information available site it. I called Amazon, even customer representative sure size. I bought suit suggested, small",negativo
swim suit unsatisfactory looking I even try on. blue striped totally different blue strap go main color suit. Very poor choice grab bag. Taught use grab bag shopping company,negativo
"If small frame person short person work fine you. The white thin see reccomend buying white brand. The t-shirts run small. A size x-large fits us big brands brand tight could even get run small. They also short. 29 inches short man's t-shirt. If tall, would recommend t-shirt.The t-shirt soft, scratchy style nice. We problems sizing course white thin see",negativo
"I say I disappointed I opened package containing iPod wallet. It's cute, $60ish cute. First all, leather, nylon. The lining indeed suede, photos product listing misleading. I'm keeping hassle shipping back, etc. worth it. It job, I expecting. I feel ripped",negativo
IT advertised NOT IN STOCK I unable get,negativo
"I plenty pairs Doc's best me........... comfy tend little tough break in. As soon I put took ONE STEP ---- right across top shoe nice big crease......... It look nice I ""ticked"" that...........plus I didnt expect laces green maroon colors mixed brown laces...... looks dorky!Plus I manufacturing flaw them. Inside heel seam isnt quite right rubs skin hurts like heck!Hopefully next model I get isnt like thses going back....... Putting now.......",negativo
These body suits awful! When I first saw I really relieved I found something would good summer months. I put twins first wash velcro closure scraped insides delicate little legs! The suits appropriate size washed according label. I disappointed angry. It waste money.,negativo
"Nice looking picture dementions thing ?It looks good 4""X 8"" 12"" X 8"" ? Sure would nice know size I buy.............da Trol",negativo
"I bought two bags far. failed plastic fastener, one arm snapped time. bag ok, plastic parts belt really cheap... I wont buy third one.",negativo
"The actual bag great. However, time frame took recieve bag not. I ordered bag three weeks later came. I go buy bag take vacation. kind defeated purpose",negativo
"Perhaps fault reading closely, failing question somewhat ambiguous product description. The fact is, I thought I would receiving 84 plastic stays (3x28), 28 3 different sizes. At $8.00, seemed like reasonable deal plastic collar stays. What I got, I confess product description could interpreted way, total 28 stays assorted sizes. When add $4.00 I charged shipping (actual US Postal Service postage package $1.84), really poor deal compared available options. About 43 cents plastic collar stay? A bad choice",negativo
Very dissatisfied quality like several reviewers. Relegated cleaning one use,negativo
"The shirt fits well, good style, good shirt. But Bealls Florida sucks retailer. Their customer service rude, crude, unrefined. Even supervisors Customer Service suck, return accept items back. So BEWARE, better damn sure size fits (ordered product before). Because Bealls Florida let return item different size style. I shop again! I repeat, I WILL NOT SHOP HERE AGAIN. THIS PLACE SUCKS AS FAR AS A RETAILER",negativo
I wore shirt once. It's almost transparent. Not worth even get free,negativo
"I received email txshirts stated I direct inquiries csr@txshirts.com. I two occasions received reply. Customer service finally contacted ask I left negative feedback Amazon. They stated never received email me.Their gym shorts described. The description said ""covered elastic waistband"". Instead, I received ""uncovered"" elastic waistband digs skin leaves indentations skin.Their response? I pay return shipping order get money back.But pay return shipping item falsely advertised??",negativo
I sorry I like I wear big & looks funny me. I wish I gotten it.,negativo
A red star!?!? I bet sell well eastern Europe.,negativo
"Very cute, I always get compliments, I wear every often bottoms ripped - think I wear everyday! I'm upset I paid $60 shoes BARELY last one season",negativo
"I purchased 3 months ago. They little arch support little support elsewhere. I wearing perhaps 2-3 times week office home. They already ripping back.I recommend them; however, I get many compliments cute are.",negativo
"I purchased 3 different Embassy purses last December. None quality I hoped for, none used gifts intended for. In case, price clue bags cheaply made nearly nice look pictures used. I would buy company",negativo
"I purchased shoes upcoming wedding I hard time walking really high heels. They extremely cute satin ribbon ankle strap hold foot firmly shoe. When I walked around them, I could feel ""flopping"". Also, anytime I raised foot (to simulate fiance taking garter) much gap foot shoe. So, aware decide purchase shoe. For price, worth buy",negativo
"The jock good support material used quite abrasive. The elastic threads bite skin. If use one sports, constantly distracted. The feel material used rough skin, esp waist",negativo
"I really really didnt like product all. I hated fit side ties annoying, hard keep tied. Also i'm petite dimensions thems supposed way off. The product would much better came auctual sizes opposed one size fits",negativo
"I usually wear size 7M. However, This shoe size 7M way small. I return AMAZON pay shipping fee return myself. I advise anyone interested shoe 1 size larger normal size wear",negativo
"Haven't worn yet test quality however, structure wrong. One leg narrow (I could barely fit leg it) waist really high",negativo
"Not I expected price color shipped wrong. Even though I contacted seller, received response",negativo
"I loved bathing suit first time I laid eyes I purchased it. I'm actually small I thick thighs I got medium. But delivered I tried on, small! I gotten large. The medium made look like I big love handles. So please whatever size make sure get size bigger. But bathing suit great. I'm going loose love handles",negativo
"Our 6-year old wants policeman grows up. He could wait get belt. We purchased police uniform earlier. The first time I ordered belt, got lost mail wait almost month get it. When finally arrived, could wrapped around waist 3 times long. It made thin vinyl hold well holes punched it. It less 4 weeks old probably make rest month",negativo
I received trousers timely manner. They expected although fit. I returned month ago heard word company.,negativo
"This ""pillow"" inflated ""U"" fits around neck. One problems is, rather sharp plastic edge around touches neck. This get pretty irritating longer use it.Fortunately, dirt cheap, I guess get pay for.",negativo
Shoe comfortable description says white white beige. Which leads think color mostly white. The true color neither! There absolutely NO WHITE shoes. I purchased shoes I needed white off/white shoes NOT beige shoes. No I return much hassel return things I kept I worn like color all. The style cute others still great bargain. The materials excellent quality. If like beige & earthtones like shoes,negativo
"Our company ordered shirts Texas Shirt Company. While happy quality, order missing 2 shirts. Over nearly 2 month period sent emails called customer service let know, customer service representative insisted accounted - say telling truth. If care customer service perhaps might want use quality pricing good - want treated fairly pick another company",negativo
"I purchased item keep wife warm cozy 12-hour flight Japan. However, way thin keep warm. After using hour, ended packing back case use blanket given us airline. Since I spent 40 dollars blanket I even throw away. I haul around entire trip. I think worth 40+ dollars. 10 dollars blanket would (or even better) job",negativo
This nightmare order.I paid extra expedited shipping assure Christmas arrival.Package tracking log revealed shoes even shipped AFTER Christmas -Disgraceful unforgivable tell 7 yr.old grandson gift make it.The shipping cost much shoes company ashamed.They also impossible reach-Amazon even get phone.Thank goodness shoes fit-I can't begin imagine return would like. The product great,negativo
These shoes look great horrible running shoes. The soles solid plastic flex impact. I knee problems knees hurt running shoes.They may good walking all-purpose shoe plan running them. I returned plan try something else,negativo
I ordered wool wrap beginning December never received item. I disappointed seller ripping people plan report fact money basically stolen me. If people can't honest transactions online buying eventually die out. Two thumbs,negativo
"BEWARE..............This ""little"" girls camisole, CHEAP looking",negativo
"Look closely picture ""white"" top. It actually red around top straps. To us want ugly red zig-zag thread.......",negativo
"Shoe high back kinda cuts heel. I love Clark's, pair",negativo
I got bra thinking would great rigorous sports 38DDD chest. Think again. Go ENELL sports bra. I bought size 3 perfect. No bounce whatsoever!!! I amazed.... bother one,negativo
"I 38 FF, I hoping would help hold running - NOT! This bra better 18 hour bras double price! I'm still search bra hold in! This one going back",negativo
"This shirt larger I expected. I got 2x i'm 12-14, way big. Also pink lot brighter pictured",negativo
paid double found another site outside amazon/this store - NEVER AGAIN,negativo
I ordered Intimo silk boxers past happy purchase. So far fabric cotton boxers extremely stiff gotten softer even 4 washings. I continue wash hopes fabric soften enough comfortable enough worn. I know I pay $15.00 two pair ofJockey's,negativo
"The fabric little stiff first, bust softens acceptable level washes. The elastic band around waist boxers contracts point wrinkles fabric. After hours wear indents crinkled band skin feels quite uncomfortable. While cheap nicely packaged, things suck. Spend money decent underwear",negativo
"I received night gown, tried on, actually hated it. The built bra loose, top much fabric top. The straps wide. The rest gown okay, although seemed drapey long.I sent gown back 3 weeks ago, now, STILL received refund. I disappointed whole transaction/product",negativo
"The sizes listed print invoice. Instead, Army Navy uses 'codes.' When send wrong sizes, blame selecting right size want 15% restocking fee plus return shipping",negativo
"Quality terrible, undersized seconds. Later I saw product discount warehouse 1/3 price.I would recommend anyoneI paid waiting 6 weeks credit. Amazon must protect buyers better lots business go elsewhere. It problems arist true color marketing company comes surface. I disgusted product",negativo
"The shoes color I wanted be. To me, cheap priced! The quality good. They easily scuffed. Am definitely returning them!!",negativo
"...the shoes quite I thought would be, although 40 bucks I probably expecting highest quality pump. They looked bit cheap, top all, small me. There return slip package, number call, way send shoes back make return, I'm stuck 40 dollar cheap looking shoes one little neices fit into--and they're bit young dressing like ladies evening. My fault buying shoes place called ""Hollywood Heelz,"" I known better.I say though, I like thin heel shoes came timely fashion. If I could fit them, I'd give 2-2 1/2 alone",negativo
"These tops cute, 7 & 10 year old neices. How world justify putting size 2x things?",negativo
"The material's good, suit runs way small. I ordered appropriate size based measurements, wobbly bits poking out. I think I could wear public! Not curvy women!",negativo
"I never received item I promised it, cancelled account credited",negativo
"Not best fabric, Scratchy See thru. You get pay",negativo
"I bought cost less Uggs. But comparison. My old Uggs ruled, totally comfy warm. I bought I money Uggs said ""sheepskin"". When I recieved looked felt different. The fur ""curly fluffy"" like Uggs, relatively short soft. I called Bearpaw complained assured synthetic. But several calls owner told "" 100% sheepskin, blended merino wool"" NOT stated anywhere Amazon website. Also I designer/ decorator I familiar fabrics fibers I still say they're synthetic. I returned them, cost, waiting refund. You get pay for! I probably could bought better pair Payless.What happened next: They promised would refund money I returned boots cost, instead sent back refund. Nice",negativo
"socks okay, one wash, covered much fuzz didnt look good. next pair washed hand dried alone avoid fuzz. also warm socks",negativo
I received wrong size color. I returned product told refund would credited account.....I still waiting.....was told amazon forbids seller ship replacement item,negativo
SHOES WAS NOT EXCALTY THE SAME AS PIC SHOWN ON WEB SITE IT WAS KIND OF USED..,negativo
"I found shirt back-ordered I promised Amazon BEFORE I ordered I receive item December 23. I received notification item shipped 24th, I purchased 15th. This means I get December 26th!Because I bought shirt go camo pants sister, I able give pants without shirt Christmas. She leave back across country, I forced send shirt her. How embarressing! Obviously Christmas time going storefront Amazon.com, better get extra stock! The worse way keep happy customer backordering Christmas ruining family member's present. Beware folks, may get item says",negativo
I actually send back cause size. They run really small.,negativo
"These shoes cute, I thought would pictures. But sides short, nearly impossible keep feet walking, especially going stairs. I returned wearing 1 day..",negativo
"Very poor quality, falling apart seams. Also really long.",negativo
"These shoes longer made Italy India. The quality material utilized construction cheap nothing like used be. I worn style Bostonian (Marco) several years, completely satisfied. This cheap imitation used great, comfortable, well-constructed shoe. Return made Italy!",negativo
"If see description: made Italy, careful! They made India. I written amazon let change. But still see made Italy, careful! Everybody knows difference",negativo
adapter nearly caught fire first time I used it. watch,negativo
"So cheap, seams sewn way. Am returning",negativo
"The photo quite deceiving. This suit made cheap polyester fabric looks cheap, shiny, horrible touch. My three year olds hate uncomfortable stiffness. Spend extra money decent fabric actually practical toddler really need suit",negativo
"THIS HAS BEEN THE COMPLAINT OF OTHERS I SEE, BUT THERE IS NO SIZING INFORMATION FOR THIS PRODUCT AND CONSEQUENTLY I CANNOT PURCHASE AS I DON'T KNOW WHAT I'M GETTING",negativo
Get EE get these. The D narrow thefore uncomfortable,negativo
"The tie gorgeous color it, description says ""good quality"" little base.",negativo
"It meet expectations.....It flimsy wrinkled, looked messy",negativo
I received item I figure return it. This clock piece trash. I never could set correctly. Each time I set time would advance day going normal function mode. The setting button protected disabled clock closed. Even worked properly dificult set.If buy clock regret,negativo
I ordered two bras defective. The left side strap sewn twisted way correct without cutting resewing,negativo
I returned shirt amazon/macys. I like I still waiting refund. I purchased January. Where's refund. I buy companies offer free shipping. I charged recieve also ship back.Ms. Michelle Watso,negativo
"Beware, item NOT zip front hoodie item description says. It pullover!",negativo
The reviewer spot on. These pretty (but truly mirrored) broke 4 weeks use. I bought pair aviators gas station made much sturdier materials half price. Definitely worth $16,negativo
"They're pretty, flimsy. Very light construction. The lens really mirrored, attempting hide eyes, forget it. It would better spend real money get professional pair cheap Chinese knock-off. Gave two stars simply good looking, cheap--and feel way face.",negativo
"I worn Jockeys almost 20 years, quality gone downhill dramatically past years. The fabric covering elastic waistband wears quickly, underwear is, unfathomable reason, heavily perfumed! I wash least 5-6 times get smell out. Plus, elastic bottom tight, loose I wear -- size. Very inconsistent quality. I recommend anymore",negativo
"Bought one new ipod nano, total disappointment. Very poorly made. Only glued together stiched up,It already started go apart. You able connect headset hole case bit small. Plus belt clip anything attacheable one's self walking working out. It looks pretty",negativo
"2 bras ordered style, even said labels attached, however, look feel different. white lot padding, rounder shape, lining tearing away padding (part design). The navy bra pointed shape less padding (which I wanted first place) I also disappointed sparse stock had...in addition, I wait extra 2 weeks one bras come ordering screen I informed would backordered. happy overall experience",negativo
"The one size fits fit slim body...and item looks ""made China"" know I mean. Rather try double pearl thong black single pearl thong. They look much ""classier"" transparent beads nylon string ""string bubbles"" panty",negativo
"All I product problems. clip middle, kept popping open, even wallet close money would fall out, ended removing cheap clip useing ever. waste money",negativo
"These gift Christmas, deep burgundy color. appear well stitched. however, 2 hand washings cold water color showed alot fading, 3rd wash I knew would returned color fading uneven tops adn bottoms almost look like match anymore. silk soft lovely color NOT fade fast much!",negativo
I unable return item restrictions imposed return policyI made mistake buying,negativo
"I saw reviews ordered bag, first impression looked pretty good! I happy, I rated time would 5 stars. The problem threads come couple places front. I trim remove hanging threads. There double stitches bag. clip calpack symbol, come out. I suppose ring holds cracked.don't ask me, I send back... costs 10 bucks one third price bag, make sense send back. It started give feeling price pay anything cheap!The next time, I'm going branded bags, worth price I guess.On hand rest bag seems ok! except defects front bag(mentioned above).if u r lucky, u could got better bag",negativo
First I tried pants size I looked like Kramer episode Jerry dares wear jeans. It ridiculous. I went back store bought little bigger best pair jeans I've ever owned.,negativo
Very disappointed cheap quality dull color. It look nice show internet. I returned refund,negativo
Product advertised paying available. Tied money two weeks refund credited back. Bad experience,negativo
"Only front bag actually beaded, quality poor. The original price $5 fewer, reasonable. This would make better toy little girl actual accessory",negativo
"I've coin purse even 2 months now, I've used 7 times. Unfortunately, ZIPPER broke already! I believe it.",negativo
"I purchased item judging comfort factor. All's well except buckles pins hold straps place. The straps slip occassionally, causing shoes come loose.",negativo
"I ordered pair black cotton mary janes I problem turpentine smell. I prepared reading reviews willing take chances price. I wonder colors fabrics problem. I washed vinegar water immediately buying helped still stink. I'm going wrap clear plastic bag transport plane hope make clothes smell, I'm still going wear hope nobody else smell them.",negativo
"Even $12, worth money. They came smelling extremely strongly turpentine, noxious chemical now, least 2 months since I received them, smell dissipated. They extremely stiff, even reek, I still wear b/c feet would tatters mid-day. I guess that's I get buying cheap shoes",negativo
"I able track progress item, took almost two weeks AFTER order request hit warehouse item shipped. I also paid 2 Day shipping item shipped took 3 days get",negativo
"Also, item shipped item pictured",negativo
"The main thing bag shipped strap. I boughtit wife carry ""all stuff"" work. With strap work. I requested another one, got it, strap. On plus side bag looked felt pictured packing was, thing, done.Gre",negativo
"I got pair sandals.I regret I didnot read customer review buying. Although cute trendy sandles, uncomfortable",negativo
"This pretty , high quality leather shoe. The wedge heel steep toe narrow. If going looks only...they good. If want kind foot comfort...skip",negativo
"Initially I going order several items Andrew Christian, I saw shipping prices checkout. $2 shipping EACH $4 tee-shirt excessive, going charge $20 shipping $42 order! I canceled items, ordering belt tee. Shipping still ~ 50% surcharge.Received order yesterday found belt defective. The buckle backwards (no, reversible...) plus material belt damaged frayed hole. It worth shipping cost & hassle send back, I'll probably throw away - I learn something.I never deal Andrew Christian again! I choose to, please pay attention shipping charges check - may decide revise order",negativo
"I LOVE THE STYLE, FABRIC, FIT, EXTREMELY COMFORTABLE (BUT IT IS A T-SHIRT) I'M 5'2 AND IT DOESN'T COME PAST MY HIPS",negativo
The shoes sparkles serve purpose. I ordered use work returned sparkle. A nice shoe use night,negativo
"I bought me, size ran small good weight. I daughter fit wanted wear things became proud owner. The shirts means high even good quality",negativo
"material nice, size small. I usually wear size XS tops tee, sleeve short",negativo
These underpants bulky puffy. My daughter uncomfortable wearing,negativo
I ordered pair big...so I asked RMA number return get smaller pair said could snail mail UPS Lable... one month later come... Each time emailed customer services said could smail mail email me.... whereas I know do-able.. Bargain Outfitters well Online shoes .. So finally I paid $15 send boots back. dine.. doubt reimburse $.. I pay shipping get boots also doubt chaarge re-stocking fee. I never ever buy The Sportsman's Guide again...,negativo
"I ordered 4 toddler long-sleeved tees' size, I thought. When I received shipment, 4 tees' different sizes [even though labeled size]. I returned items since tees' run two sizes small, workmanship questionable, translates into...that I able give item loved one Christmas.",negativo
"I would recommend hats. You definately get pay for. The sizes true fit cheaply constructed (even 6.00 hat.) I basically threw out. The sad thing is, I spent much shipping I product",negativo
"I wish rating ""0"". This flimsy armband slightly larger slot provided. The armband cut tore back completely off. I returning",negativo
"I would loved sent it, 2 weeks telling stock & way, company fessed color I chose. The color wanted sub. looked pretty bad I cancelled",negativo
"The pic I ordered showed knee length half slip. Instead I received 3 long half slips Her Room. I cannot use long half slips I sent back.Also, I bought gift certificate granddaughter find apply that, cost put visa.Thanks.Jeanne Alle",negativo
This wallet big passport don`t fit documents Brazil.Maybe good another country`s document,negativo
"product never made destination. purchased pants match(which pin-striped didn't) never sent recipient, invoiced, currious seller plans point, even intend send correct pants??? know everything else late shipping durring holiday, wrong products otherwise, purchase seller",negativo
"Straps shoe short since close velcro, short. I tried add velcro, work. I give shoes away. The strap rubbed across top ankle side foot uncomfortable. Would recommend heavy side",negativo
"There's fine line tacky hip, slippers it. These slippers looked much cuter picture person. Also, thing foot floor thin piece rubber-y fabric. They're made warmth. All around disappointing",negativo
"I seen others wear slides I know Adidas usually supplies excellent product. I read reviews warned need ""breaking in"" sole nubs wearing socks process. However, I've worn slides 2+ months still make soles feet tender unless I continue wear socks. I disappointed slide I stubbornly continue wear them. Maybe day ""broken""",negativo
THESE ARE THE ABSOLUTE WORST THINGS HAVE EVER BOUGHT. SERVES ME RIGHT FOR BY A SANDAL WITHOUT EVER HAVING TRIED IT ON. I WALKED AROUND THE BLOCK FROM MY HOUSE WITH THEM AND BARELY MADE IT HOME THEY HURT THE BOTTOMS OF MY FEET SO BADLY I MAY NEED TO TAKE AN EXTRA DAY OFF OF WORK. THE PART OF THE SANDAL WHERE IT MIGHT NORMALLY BE FLAT AND CUSHIONED HAS SHARPENED PLASTIC SPIKES KNIFING THE SOLE OF YOUR FOOT. TAKE YOUR MONEY AND THROW IT RIGHT INTO THE GARBAGE AND SAVE YOURSELF THE MISERY OF EVER HAVING WORN THESE SO CALLED SANDALS. AND I LOVE ADIDAS,negativo
"They cheaply made,Thank goodness little girls,I would embarrassed I'd ordered gift someone.I know I expect alot $5., I'd thought they'd better",negativo
"I love cotton color, right shade beige white slacks.The show style unconfortable Clark shoe I have. There something strange left shoe, give blister everytime I wear",negativo
It looks great lace back itches bad I cannot wear,negativo
Boots run size big unfortunately cost $20 return/exchange,negativo
"These boots super cute earned rave reviews time I wore out, although boot split along outside, toe sole approximately 10 wears. These splits, although tiny, allowed socks get soaked splashing giant West Coast puddles. I still wear them, fashion instead function",negativo
"And poison ivy mouth keep hands warm. These things itch like hell. I know, they're wool, shut up. I think whoever made steal wool. No wonder felt bad. Get it? Steel wool? Ugh, go away",negativo
"I bought younger three month old son, even move around alot morning fabric snaps attached would ripped shirt. I ended throw away keep sewing back together.I suggest anyone buy",negativo
I wear boxers boxer brifes look sexer every one start wear boxer brifes way wont get pantsed get wegie,negativo
"The sweatshirt cardboard feeling conform body. My husband 6' 178 pounds, problem finding clothes fit, one looked like stiff kite him.BE AWARE The items returned vendor took five weeks receiving item back refund money, I filed complaint Amazon. Amazon acted quickly post credit.",negativo
"The item looks cheap. I ordered medium size 2X bigger regular size. ""Ugly",negativo
"quesss price cant beat it, think said patch leather, leather pieces, also size runs larger, regular coats, xl really like xxl.but like said price cant beat it, really invested got better coat. thank dlan",negativo
"Didn't like way boots fit. The souls really lumpy could feel walked. They also looked really wierd on, flattened really wide felt like foot would slipp sideways. Returned paid shipping",negativo
I broke toe second wearing. Lousy product,negativo
"I keep tyring find shirts prices $9,10 11, they? How I find",negativo
super low price advertised 'select sizes colors'.oh u add cart know price,negativo
"This shirt tapered body sleeves feels confining. The people like must quite thin, indeed.It wrinkle high percentage polyester breathe well, either.I giving 2 stars color choices, though someone would want dress shirt available colors beyond me.For price, better, even someplace like Target",negativo
"Easy install. We used less month longer rotates- still hear engine running, movement. Hardly use all- maybe 10 times. We tried taking apart see something simple wrong screws set tight can't open see inner workings. I never received bad item amazon before- I disappointed product.",negativo
These pants tendency split horizontally almost reason all. If split alont seam would one thing ctross seam practically explode even fit loosely mean rotten fabric get buy these. I lost 3 pairs I biught self calamity always public. Please save trouble. By way Lee version pants also thing. Be afraid afraid.,negativo
"I bought boy thinking fly front much like mens versions I wear. They son's least favorite underwear mearly cause pull front order use bath room. He's 6 I trained I tought use fly front underwear. In personal thoughts men's/boy's underwear fly front need use, unlike women girls require",negativo
TOO BAD THERE WASN'T A RATING OF 0 STAR. THIS IS THE WORST PIECE OF JUNK I EVER BOUGHT. FIRST OF ALL WE WERE LOOKING FOR A BRAND CALLED SPORTS AFIELD. THIS ITEM FELL UNDER IT WHEN WE DID A SEARCH. WHEN IT ARRIVED IT WAS SOME OFF THE WALL BRAND.THEY WERE PAPER THIN BUT THOUGHT MAYBE THEY WERE WARM BEING IT WAS FROM AN ARMY AND NAVY STORE. WRONG!!!!!!! THEY SERVED NO PURPOSE AT ALL.WERE NOT WARM AT ALL. .WE WASHED THEM PER DIRECTIOS ON TAG AND SHRUNK SO BAD I DON'T THINK A 2 YR OLD COULD FIT IN THEM.DO NOT BUY!!!!!!JUN,negativo
like material skirt especially black white one like feels old ladies,negativo
"I glad finally found right pair boots, last long. Not even 3 weeks I bought it, already deteriorated. Given I live Seattle, rain seeped really easily sole pads started breaking. It like wearing melted cardboard",negativo
"I wore Gold toes years ago remember high quality durable socks. I discontinued using started wearing different styles crew/white/standard. Now trying fluffies think remember stopped liking gold toes. perhaps sold co. came new management. anyt case socks stretch elastic, making basically worthless. yippee",negativo
Got toughest piece leather cow ever produced! I've literally never pair boots need THIS much breaking I LOTS boots. Makes even want wear,negativo
When I ordered skort description say childs size. So I complained site I bought from. I asked shipping also returned specify childs size. I wasted money shipping item I ordered I known adult sized item. They return shipping,negativo
"When product came, says ""girls"" - woman's size. I'm petite woman 5'2 105lbs medium tight - like jr's size ""girls"" size tag states. Now I spend $$ sending product back",negativo
This bra definately B cup set. The openings big better wearing nothin,negativo
"hard time using thing. first tore loop tie trying fit clip, cut button shirt sliding shirt. I went back using tie bar tack",negativo
I wore shirt one day every week five months collar points worn white material underneath showing through. It's blue shirt I can't wear work now. Unacceptable shirt price,negativo
When product ordered 9 1/2 Wide recieved 9 1/2 Medium. We live South America brought friends shoes fit different country,negativo
"It loose fit I feel little silly, pulling package I totally forgot exactly thing look me. It made like unflattering potato sack sadly",negativo
"I got weeks ago. Although light turned charger (indicating electrical socket good), shuffle briefly flickered charging/LED light. I played around it, seems can't maintain contact charge despite many attempts several days. I gave simply use usb charger (with stable base) hooked laptop",negativo
"I must say getting good price comfortable. You also notice anything ""irregular"".However, I ordered use boxers -- wear around house. Not good plan. These thin, plus fly narrow. All all, useful intended purpose",negativo
"I yet reccived tham I review tham till I reccive them.Thank you, Robert But",negativo
"Not charged 8.99 it, 6.99 shipping! Its cheap plastic toy. But grandson begged it, beter judgement, I ordered it.Save money. Its worth buck, that. I cant believe nerve sell expect complaints garbage. Shipping complete rip off, I never order company",negativo
"The garment I received labeled large. In fact, best ""small"". The material workmanship good product simply mislabeled",negativo
"The tape stick well - plus packaging misleading, box said contained 2 bras (which really need tape first one fails, try second). I threw away",negativo
I thought product going easier found really dosent work tape dosent like stick skin think sizes wear 38C got like whereing b cup c well hope info helps peopleSher,negativo
I washed garment according recommendation shrank 2 sizes . . . point I longer wear it. Bummer wearing,negativo
"Item called ""Fleese"" 80% cotton looked & felt like regular sweat shirt. To return item them, give free mailing, deduct $5.95 refund S&H. After calling this, agreed give us full refund. But refund show 2 3 billing cycles. I doubt makes many consumers happy. Champion makes fine line products, I never deal line agai",negativo
"These compression shorts nothing like pair hind I have. Aside low grade material poor stiching, waist band rides around chest! It looks like designed someone 7 feet tall",negativo
I bought husband color said rinse I thought regular jean color. In fact dark almost look black. I washed 5 times fade,negativo
"I vey unhappy sales professional Nautica outlet stores. I bad experience Nautica store outlet stores. The customer service representatives rude unprofessional. They basically said really care lose one customer, customers still buy. ( case, prices slashed 50%...it people want pay full price ...)I think I ever buy Nautica. A uncaring sales represtatives give bad name whole company",negativo
"poorly made. zipper work arrived, I tried pull it, thread torn apart beads fell...cheap stuff, ordered it.",negativo
"I usually wear men's medium waist athletic shorts (Umbro, Adidas, Nike) usually fall knee lengthwise. Just safe I ordered large. The shorts barely made past midpoint thigh legs overly long. The waist fits well looking pair workout shorts, I'd skip unless like show lot leg.",negativo
Was boot pictures. Got sad opend packet,negativo
The writing peeling badly. I can't let child wear this. I threw,negativo
I informed October item longer available account would credited. I think maybe I check bank statement time,negativo
This luggage last even one flight. It torn corners handles broken. I contact company given full refund though,negativo
"got largest size (size 10) toes crunched in. fit mom barely, size 8. wanted get money back it, it'd probably money ship incredibly small slippers back, actually costed begin with.",negativo
"Am I one sick tired t-shirt???? Give rest already!! I can't browse without seeing it, dead horse beaten oblivion!!",negativo
"I love t-shirt I loved movie, note typically bothered restrictive neck lines arms, may present issue you. The areas see navy color tapering fit",negativo
